table_number;table_name;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
1;VONDSTVERWERVING;;;;;;;;Archeologisch: veldkartering;Archeologisch: veldkartering;AKA;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: begeleiding;Archeologisch: begeleiding;ABE;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: booronderzoek;Archeologisch: booronderzoek;ABO;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: bureauonderzoek;Archeologisch: bureauonderzoek;ABU;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: duikactiviteiten;Archeologisch: duikactiviteiten;ADU;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: geofysisch onderzoek;Archeologisch: geofysisch onderzoek;AGO;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: inspectie;Archeologisch: inspectie;AIN;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: onbepaald;Archeologisch: onbepaald;AXX;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: onderwaterarcheologie;Archeologisch: onderwaterarcheologie;AOW;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: opgraving;Archeologisch: opgraving;AOP;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: proefputten / proefsleuven;Archeologisch: proefputten / proefsleuven;APP;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Archeologisch: verwachtingskaart;Archeologisch: verwachtingskaart;AVE;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Indirect: archief;Indirect: archief;IAR;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Indirect: collectie;Indirect: collectie;ICO;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Indirect: literatuur;Indirect: literatuur;ILI;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Indirect: onbepaald;Indirect: onbepaald;IXX;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Luchtfoto/remote sensing;Luchtfoto/remote sensing;LUC;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Niet-archeologisch: duikactiviteiten;Niet-archeologisch: duikactiviteiten;NDU;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Niet-archeologisch: baggerwerk;Niet-archeologisch: baggerwerk;NBA;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Niet-archeologisch: boring;Niet-archeologisch: boring;NBO;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Niet-archeologisch: graafwerk;Niet-archeologisch: graafwerk;NGR;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Niet-archeologisch: kartering;Niet-archeologisch: kartering;NKA;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Niet-archeologisch: metaaldetector;Niet-archeologisch: metaaldetector;NDE;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Niet-archeologisch: onbepaald;Niet-archeologisch: onbepaald;NXX;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Niet-archeologisch: waterwerk en exploitatie;Niet-archeologisch: waterwerk en exploitatie;NWA;;;;;;;;0
1;VONDSTVERWERVING;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
2;GEOMORFOLOGIE;;;;;;;;Dal/dalvormige laagte;Dal/dalvormige laagte;DXX;;;;;;;;0
2;GEOMORFOLOGIE;;;;Dal/dalvormige laagte;;;;Beek- of rivierdalbodem;Beek- of rivierdalbodem;DBE;;;;;;;;3
2;GEOMORFOLOGIE;;;;Dal/dalvormige laagte;;;;Droog dal;Droog dal;DDD;;;;;;;;3
2;GEOMORFOLOGIE;;;;Dal/dalvormige laagte;;;;Geul van afwateringstelsel;Geul van afwateringstelsel;DAF;;;;;;;;3
2;GEOMORFOLOGIE;;;;Dal/dalvormige laagte;;;;Kreekbedding;Kreekbedding;DKR;;;;;;;;3
2;GEOMORFOLOGIE;;;;;;;;Glooiing;Glooiing;GXX;;;;;;;;0
2;GEOMORFOLOGIE;;;;Glooiing;;;;Doorbraakwaaier;Doorbraakwaaier;GDO;;;;;;;;3
2;GEOMORFOLOGIE;;;;Glooiing;;;;Glooiing van hellingafspoelingen;Glooiing van hellingafspoelingen;GHE;;;;;;;;3
2;GEOMORFOLOGIE;;;;Glooiing;;;;Glooiing van terrasafzettingen;Glooiing van terrasafzettingen;GTE;;;;;;;;3
2;GEOMORFOLOGIE;;;;Glooiing;;;;Grondmorene- en smeltwaterglooiing;Grondmorene- en smeltwaterglooiing;GGR;;;;;;;;3
2;GEOMORFOLOGIE;;;;;;;;Laagte;Laagte;LXX;;;;;;;;0
2;GEOMORFOLOGIE;;;;Laagte;;;;Groeve;Groeve;LGR;;;;;;;;3
2;GEOMORFOLOGIE;;;;Laagte;;;;Moernering/veenafgravingslaagte;Moernering/veenafgravingslaagte;LMO;;;;;;;;3
2;GEOMORFOLOGIE;;;;Laagte;;;;Polder/droogmakerij;Polder/droogmakerij;LPO;;;;;;;;3
2;GEOMORFOLOGIE;;;;;;;;Rug;Rug;RXX;;;;;;;;0
2;GEOMORFOLOGIE;;;;Rug;;;;Dekzandrug/dekzandplateau;Dekzandrug/dekzandplateau;RDE;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Donk/rivierduin;Donk/rivierduin;RDO;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Duin;Duin;RDU;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Esdek;Esdek;RES;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Grondmorenerug;Grondmorenerug;RGR;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Heuvelrug door tectoniek ontstaan;Heuvelrug door tectoniek ontstaan;RHE;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Inversierug;Inversierug;RIN;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Klif/kaap;Klif/kaap;RKL;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Kwelderwal;Kwelderwal;RKW;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Oeverwal;Oeverwal;ROE;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Strandwal;Strandwal;RST;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Stuwwal;Stuwwal;RSW;;;;;;;;3
2;GEOMORFOLOGIE;;;;Rug;;;;Terras;Terras;RTE;;;;;;;;3
2;GEOMORFOLOGIE;;;;;;;;Vlakte;Vlakte;VXX;;;;;;;;0
2;GEOMORFOLOGIE;;;;Vlakte;;;;Beek-/rivieroverstromingsvlakte;Beek-/rivieroverstromingsvlakte;VBE;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Dekzandvlakte;Dekzandvlakte;VDE;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Doorbraakafzettingenvlakte;Doorbraakafzettingenvlakte;VDO;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Grondmorenevlakte/keileemvlakte;Grondmorenevlakte/keileemvlakte;VGR;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Kwelder/getijafzettingenvlakte;Kwelder/getijafzettingenvlakte;VKW;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Moerassige vlakte:boezem-,vlietland;Moerassige vlakte:boezem-,vlietland;VMO;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Rivierkom en rivieroeverwalvlakte;Rivierkom en rivieroeverwalvlakte;VRI;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Smeltwaterafzettingen/sandr-vlakte;Smeltwaterafzettingen/sandr-vlakte;VSM;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Strandvlakte/abrasievlakte;Strandvlakte/abrasievlakte;VST;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Stuifzandvlakte;Stuifzandvlakte;VSZ;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Uiterwaard;Uiterwaard;VUI;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Veenvlakte (ontgonnen);Veenvlakte (ontgonnen);VOV;;;;;;;;3
2;GEOMORFOLOGIE;;;;Vlakte;;;;Vlakte door afgraving/egalisatie;Vlakte door afgraving/egalisatie;VAF;;;;;;;;3
2;GEOMORFOLOGIE;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Akkerbouw/tuinbouw/bouwvoor;Akkerbouw/tuinbouw/bouwvoor;AKK;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Bebouwing/erf/weg/kerkhof;Bebouwing/erf/weg/kerkhof;BEB;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Boomgaard;Boomgaard;BOO;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Bos;Bos;BOS;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Duin;Duin;DUI;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Grasland/weideland;Grasland/weideland;GRA;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Groeve;Groeve;GRO;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Heide;Heide;HEI;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Secundair/opgebrachte grond;Secundair/opgebrachte grond;SEC;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Sloot(kant)/oever;Sloot(kant)/oever;SLO;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Strand;Strand;STR;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Veen;Veen;VEE;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Water/geul/bank/plaat;Water/geul/bank/plaat;WAT;;;;;;;;0
3;GRONDGEBRUIK;;;;;;;;Zand(verstuiving);Zand(verstuiving);ZAN;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Antropogene laag: mest, afval;Antropogene laag: mest, afval;ANTROP;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Detritus/organisch slik: gyttja/dy;Detritus/organisch slik: gyttja/dy;DETRIT;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Grind;Grind;GRIND;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Keileem;Keileem;KEILEE;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Keizand;Keizand;KEIZAN;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Klei;Klei;KLEI;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Leem/loess;Leem/loess;LEEM;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Silt;Silt;SILT;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Veen;Veen;VEEN;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Zand;Zand;ZAND;;;;;;;;0
4;TEXTUUR VONDSTLAAG;;;;;;;;Zavel;Zavel;ZAVEL;;;;;;;;0
5;COMPLEX;;;;;;;;Depot;Depot;DEPO;;;;;;;;0
5;COMPLEX;;;;;;;;Economie;Economie;;;;;;;;;0
5;COMPLEX;;;;Economie;;;;Akker/tuin;Akker/tuin;ELA;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Beenbewerking;Beenbewerking;EIBB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Brouwerij;Brouwerij;EIB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Celtic field/raatakker;Celtic field/raatakker;ELCF;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Drenkplaats/dobbe;Drenkplaats/dobbe;ELDP;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Economie, onbepaald;Economie, onbepaald;EX;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Eendekooi;Eendekooi;ELEK;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Glasblazerij;Glasblazerij;EIGB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Grondstofwinning;Grondstofwinning;EGX;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Houtbewerking;Houtbewerking;EIHB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Houtskool-/kolenbranderij;Houtskool-/kolenbranderij;EIHK;;;;;;;;3
5;COMPLEX;;;;Economie;;;;IJzerwinning;IJzerwinning;EGYW;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Industrie/nijverheid;Industrie/nijverheid;EIX;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Kalkbranderij;Kalkbranderij;EIKB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Kleiwinning;Kleiwinning;EGKW;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Landbouw;Landbouw;ELX;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Leerlooierij;Leerlooierij;EILL;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Mergel-/kalkwinning;Mergel-/kalkwinning;EGMW;;;;;;;;3
