row_id;source_pdf;source_page;table_number;table_name;row_type;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
112;ABR_NL.pdf;8;5;COMPLEX;entry;;;;;;;;Depot;Depot;DEPO;;;;;;;;0
113;ABR_NL.pdf;8;5;COMPLEX;header;;;;;;;;Economie;Economie;;;;;;;;;0
114;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Akker/tuin;Akker/tuin;ELA;;;;;;;;3
115;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Beenbewerking;Beenbewerking;EIBB;;;;;;;;3
116;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Brouwerij;Brouwerij;EIB;;;;;;;;3
117;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Celtic field/raatakker;Celtic field/raatakker;ELCF;;;;;;;;3
118;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Drenkplaats/dobbe;Drenkplaats/dobbe;ELDP;;;;;;;;3
119;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Economie, onbepaald;Economie, onbepaald;EX;;;;;;;;3
120;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Eendekooi;Eendekooi;ELEK;;;;;;;;3
121;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Glasblazerij;Glasblazerij;EIGB;;;;;;;;3
122;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Grondstofwinning;Grondstofwinning;EGX;;;;;;;;3
123;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Houtbewerking;Houtbewerking;EIHB;;;;;;;;3
124;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Houtskool-/kolenbranderij;Houtskool-/kolenbranderij;EIHK;;;;;;;;3
125;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;IJzerwinning;IJzerwinning;EGYW;;;;;;;;3
126;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Industrie/nijverheid;Industrie/nijverheid;EIX;;;;;;;;3
127;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Kalkbranderij;Kalkbranderij;EIKB;;;;;;;;3
128;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Kleiwinning;Kleiwinning;EGKW;;;;;;;;3
129;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Landbouw;Landbouw;ELX;;;;;;;;3
130;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Leerlooierij;Leerlooierij;EILL;;;;;;;;3
131;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Mergel-/kalkwinning;Mergel-/kalkwinning;EGMW;;;;;;;;3
132;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Metaalbewerking/smederij;Metaalbewerking/smederij;EIMB;;;;;;;;3
133;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Molen;Molen;EIM;;;;;;;;3
134;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Pottenbakkerij;Pottenbakkerij;EIPB;;;;;;;;3
135;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Scheepvaart;Scheepvaart;ESCH;;;;;;;;3
136;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Smelterij;Smelterij;EISM;;;;;;;;3
137;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Steen-/pannenbakkerij;Steen-/pannenbakkerij;EISB;;;;;;;;3
138;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Textielnijverheid;Textielnijverheid;EITN;;;;;;;;3
139;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Veekraal/schaapskooi;Veekraal/schaapskooi;ELVK;;;;;;;;3
140;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Veenwinning;Veenwinning;EGVW;;;;;;;;3
141;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Visserij;Visserij;EVX;;;;;;;;3
142;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Vuursteenbewerking;Vuursteenbewerking;EIVB;;;;;;;;3
143;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Vuursteenwinning;Vuursteenwinning;EGVW;;;;;;;;3
144;ABR_NL.pdf;8;5;COMPLEX;entry;;;;Economie;;;;Zoutwinning/moernering;Zoutwinning/moernering;EGZW;;;;;;;;3
145;ABR_NL.pdf;9;5;COMPLEX;header;;;;;;;;Begraving;Begraving;;;;;;;;;0
146;ABR_NL.pdf;9;5;COMPLEX;entry;;;;Begraving;;;;Crematiegraf;Crematiegraf;GC;;;;;;;;2
147;ABR_NL.pdf;9;5;COMPLEX;entry;;;;Begraving;;;;Dieregraf;Dieregraf;GD;;;;;;;;2
148;ABR_NL.pdf;9;5;COMPLEX;entry;;;;Begraving;;;;Grafheuvel, crematie;Grafheuvel, crematie;GHC;;;;;;;;2
149;ABR_NL.pdf;9;5;COMPLEX;entry;;;;Begraving;;;;Grafheuvel, gemengd;Grafheuvel, gemengd;GHIC;;;;;;;;2
150;ABR_NL.pdf;9;5;COMPLEX;entry;;;;Begraving;;;;Grafheuvel, inhumatie;Grafheuvel, inhumatie;GHI;;;;;;;;2
151;ABR_NL.pdf;9;5;COMPLEX;entry;;;;Begraving;;;;Grafheuvel, onbepaald;Grafheuvel, onbepaald;GHX;;;;;;;;2
152;ABR_NL.pdf;9;5;COMPLEX;entry;;;;Begraving;;;;Grafveld, crematies;Grafveld, crematies;GVC;;;;;;;;2
153;ABR_NL.pdf;9;5;COMPLEX;entry;;;;Begraving;;;;Grafveld, gemengd;Grafveld, gemengd;GVIC;;;;;;;;2
