row_id;source_pdf;source_page;table_number;table_name;row_type;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
211;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Acheuleen;Acheuleen;ACH;;;;;;;;0
212;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Ahrensburg-cultuur;Ahrensburg-cultuur;AHR;;;;;;;;0
213;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Creswell-cultuur;Creswell-cultuur;CRE;;;;;;;;0
214;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;De Leijen-Wartena complex;De Leijen-Wartena complex;LWC;;;;;;;;0
215;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Eems-cultuur;Eems-cultuur;EEM;;;;;;;;0
216;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Elp-cultuur;Elp-cultuur;ELP;;;;;;;;0
217;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Enkelgraf-cultuur;Enkelgraf-cultuur;EGK;;;;;;;;0
218;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Hamburg-cultuur;Hamburg-cultuur;HAM;;;;;;;;0
219;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Hazendonk-cultuur;Hazendonk-cultuur;HAZ;;;;;;;;0
220;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Hilversum-cultuur;Hilversum-cultuur;HVS;;;;;;;;0
221;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Hoogkarspel-cultuur;Hoogkarspel-cultuur;HKL;;;;;;;;0
222;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Inheems-romeins;Inheems-romeins;INH;;;;;;;;0
223;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Klokbeker-cultuur;Klokbeker-cultuur;KB;;;;;;;;0
224;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Late mesolithic survival;Late mesolithic survival;LMS;;;;;;;;0
225;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Lineaire bandkeramiek;Lineaire bandkeramiek;LBK;;;;;;;;0
226;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Magdalenien-cultuur;Magdalenien-cultuur;MAG;;;;;;;;0
227;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Michelsberg-cultuur;Michelsberg-cultuur;MK;;;;;;;;0
228;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Mousterien;Mousterien;MOU;;;;;;;;0
229;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Mousterien de tradition acheuleenne;Mousterien de tradition acheuleenne;MTA;;;;;;;;0
230;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Nederrijnse grafheuvel-cultuur;Nederrijnse grafheuvel-cultuur;NGK;;;;;;;;0
231;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Niet van toepassing;Niet van toepassing;---;;;;;;;;0
232;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Northwest-Kreis;Northwest-Kreis;NWK;;;;;;;;0
233;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
234;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Rhine Basin-Kreis;Rhine Basin-Kreis;RBK;;;;;;;;0
235;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Roessener-cultuur;Roessener-cultuur;ROS;;;;;;;;0
236;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Romeins;Romeins;ROM;;;;;;;;0
237;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Swifterbant-cultuur;Swifterbant-cultuur;SWI;;;;;;;;0
238;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;S.O.M./Stein/midden-neolithicum Limburg;S.O.M./Stein/midden-neolithicum Limburg;SOM;;;;;;;;0
239;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Tjonger-cultuur;Tjonger-cultuur;TJO;;;;;;;;0
240;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Trechterbeker-cultuur;Trechterbeker-cultuur;TRB;;;;;;;;0
241;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Vlaardingen-cultuur;Vlaardingen-cultuur;VLA;;;;;;;;0
242;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Wikkeldraad-cultuur;Wikkeldraad-cultuur;WKD;;;;;;;;0
243;ABR_NL.pdf;11;6;CULTUUR;entry;;;;;;;;Zeijen-cultuur;Zeijen-cultuur;ZEI;;;;;;;;0
