row_id;source_pdf;source_page;table_number;table_name;row_type;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
42;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;;;;;Dal/dalvormige laagte;Dal/dalvormige laagte;DXX;;;;;;;;0
43;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Dal/dalvormige laagte;;;;Beek- of rivierdalbodem;Beek- of rivierdalbodem;DBE;;;;;;;;3
44;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Dal/dalvormige laagte;;;;Droog dal;Droog dal;DDD;;;;;;;;3
45;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Dal/dalvormige laagte;;;;Geul van afwateringstelsel;Geul van afwateringstelsel;DAF;;;;;;;;3
46;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Dal/dalvormige laagte;;;;Kreekbedding;Kreekbedding;DKR;;;;;;;;3
47;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;;;;;Glooiing;Glooiing;GXX;;;;;;;;0
48;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Glooiing;;;;Doorbraakwaaier;Doorbraakwaaier;GDO;;;;;;;;3
49;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Glooiing;;;;Glooiing van hellingafspoelingen;Glooiing van hellingafspoelingen;GHE;;;;;;;;3
50;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Glooiing;;;;Glooiing van terrasafzettingen;Glooiing van terrasafzettingen;GTE;;;;;;;;3
51;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Glooiing;;;;Grondmorene- en smeltwaterglooiing;Grondmorene- en smeltwaterglooiing;GGR;;;;;;;;3
52;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;;;;;Laagte;Laagte;LXX;;;;;;;;0
53;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Laagte;;;;Groeve;Groeve;LGR;;;;;;;;3
54;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Laagte;;;;Moernering/veenafgravingslaagte;Moernering/veenafgravingslaagte;LMO;;;;;;;;3
55;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Laagte;;;;Polder/droogmakerij;Polder/droogmakerij;LPO;;;;;;;;3
56;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;;;;;Rug;Rug;RXX;;;;;;;;0
57;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Dekzandrug/dekzandplateau;Dekzandrug/dekzandplateau;RDE;;;;;;;;3
58;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Donk/rivierduin;Donk/rivierduin;RDO;;;;;;;;3
59;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Duin;Duin;RDU;;;;;;;;3
60;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Esdek;Esdek;RES;;;;;;;;3
61;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Grondmorenerug;Grondmorenerug;RGR;;;;;;;;3
62;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Heuvelrug door tectoniek ontstaan;Heuvelrug door tectoniek ontstaan;RHE;;;;;;;;3
63;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Inversierug;Inversierug;RIN;;;;;;;;3
64;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Klif/kaap;Klif/kaap;RKL;;;;;;;;3
65;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Kwelderwal;Kwelderwal;RKW;;;;;;;;3
66;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Oeverwal;Oeverwal;ROE;;;;;;;;3
67;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Strandwal;Strandwal;RST;;;;;;;;3
68;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Stuwwal;Stuwwal;RSW;;;;;;;;3
69;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Rug;;;;Terras;Terras;RTE;;;;;;;;3
70;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;;;;;Vlakte;Vlakte;VXX;;;;;;;;0
71;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Beek-/rivieroverstromingsvlakte;Beek-/rivieroverstromingsvlakte;VBE;;;;;;;;3
72;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Dekzandvlakte;Dekzandvlakte;VDE;;;;;;;;3
73;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Doorbraakafzettingenvlakte;Doorbraakafzettingenvlakte;VDO;;;;;;;;3
74;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Grondmorenevlakte/keileemvlakte;Grondmorenevlakte/keileemvlakte;VGR;;;;;;;;3
75;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Kwelder/getijafzettingenvlakte;Kwelder/getijafzettingenvlakte;VKW;;;;;;;;3
76;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Moerassige vlakte:boezem-,vlietland;Moerassige vlakte:boezem-,vlietland;VMO;;;;;;;;3
77;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Rivierkom en rivieroeverwalvlakte;Rivierkom en rivieroeverwalvlakte;VRI;;;;;;;;3
78;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Smeltwaterafzettingen/sandr-vlakte;Smeltwaterafzettingen/sandr-vlakte;VSM;;;;;;;;3
79;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Strandvlakte/abrasievlakte;Strandvlakte/abrasievlakte;VST;;;;;;;;3
80;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Stuifzandvlakte;Stuifzandvlakte;VSZ;;;;;;;;3
81;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Uiterwaard;Uiterwaard;VUI;;;;;;;;3
82;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Veenvlakte (ontgonnen);Veenvlakte (ontgonnen);VOV;;;;;;;;3
83;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;Vlakte;;;;Vlakte door afgraving/egalisatie;Vlakte door afgraving/egalisatie;VAF;;;;;;;;3
84;ABR_NL.pdf;5;2;GEOMORFOLOGIE;entry;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
