row_id;source_pdf;source_page;table_number;table_name;row_type;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
100;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Antropogene laag: mest, afval;Antropogene laag: mest, afval;ANTROP;;;;;;;;0
101;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Detritus/organisch slik: gyttja/dy;Detritus/organisch slik: gyttja/dy;DETRIT;;;;;;;;0
102;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Grind;Grind;GRIND;;;;;;;;0
103;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Keileem;Keileem;KEILEE;;;;;;;;0
104;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Keizand;Keizand;KEIZAN;;;;;;;;0
105;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Klei;Klei;KLEI;;;;;;;;0
106;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Leem/loess;Leem/loess;LEEM;;;;;;;;0
107;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Onbekend;Onbekend;XXX;;;;;;;;0
108;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Silt;Silt;SILT;;;;;;;;0
109;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Veen;Veen;VEEN;;;;;;;;0
110;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Zand;Zand;ZAND;;;;;;;;0
111;ABR_NL.pdf;7;4;TEXTUUR VONDSTLAAG;entry;;;;;;;;Zavel;Zavel;ZAVEL;;;;;;;;0
