period;location;period_start;period_finish;source;source_institute;year
Paleolithicum;Netherlands;-998050;-8799;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Paleolithicum vroeg;Netherlands;-998050;-298050;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Paleolithicum midden;Netherlands;-298050;-33050;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Paleolithicum laat;Netherlands;-33050;-8799;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Paleolithicum laat A;Netherlands;-33050;-16050;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Paleolithicum laat B;Netherlands;-16050;-8799;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Mesolithicum;Netherlands;-8799;-4899;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Mesolithicum vroeg;Netherlands;-8799;-7099;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Mesolithicum midden;Netherlands;-7099;-6449;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Mesolithicum laat;Netherlands;-6449;-4899;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum;Netherlands;-5299;-1999;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum vroeg;Netherlands;-5299;-4199;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum vroeg A;Netherlands;-5299;-4899;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum vroeg B;Netherlands;-4899;-4199;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum midden;Netherlands;-4199;-2849;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum midden A;Netherlands;-4199;-3399;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum midden B;Netherlands;-3399;-2849;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum laat;Netherlands;-2849;-1999;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum laat A;Netherlands;-2849;-2449;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Neolithicum laat B;Netherlands;-2449;-1999;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Bronstijd;Netherlands;-1999;-799;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Bronstijd vroeg;Netherlands;-1999;-1799;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Bronstijd midden;Netherlands;-1799;-1099;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Bronstijd midden A;Netherlands;-1799;-1499;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Bronstijd midden B;Netherlands;-1499;-1099;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Bronstijd laat;Netherlands;-1099;-799;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
IJzertijd;Netherlands;-799;-11;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
IJzertijd vroeg;Netherlands;-799;-499;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
IJzertijd midden;Netherlands;-499;-249;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
IJzertijd laat;Netherlands;-249;-11;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Romeinse tijd;Netherlands;-11;450;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Romeinse tijd vroeg;Netherlands;-11;70;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Romeinse tijd vroeg A;Netherlands;-11;25;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Romeinse tijd vroeg B;Netherlands;25;70;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Romeinse tijd midden;Netherlands;70;270;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Romeinse tijd midden A;Netherlands;70;150;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Romeinse tijd midden B;Netherlands;150;270;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
Romeinse tijd laat;Netherlands;270;450;http://n2t.net/ark:/99152/p0pqptc;Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed;1992
