Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
2743463;Den Oord;Den Oord;Oord;5197083;527083;P;PPL;NL;;9;352;;;0;;3;Europe/Amsterdam;03/06/2007
2743465;Drijberse Veld;Drijberse Veld;Drijbersche Veld,Drijberse Veld;5277077;654501;L;LCTY;NL;;1;1731;;;0;;12;Europe/Amsterdam;16/08/2017
2743466;Delfshavensche Schie;Delfshavensche Schie;De Schie,Delfshavensche Schie,Delfshavense Schie,Schie;5190172;445371;H;STMC;NL;;11;;;;0;;-3;Europe/Amsterdam;17/01/2012
2743467;Aa;Aa;A,Aa,De Aa Riviere,De Aa Rivière,L'Aa,Leie,Leij,L’Aa,Run;5165;531667;H;STM;NL;BE;0;;;;0;;4;Europe/Amsterdam;06/03/2014
2743468;Zwormertorenbrug;Zwormertorenbrug;;5223333;621667;S;BDG;NL;;15;150;;;0;;14;Europe/Amsterdam;04/06/2011
2743469;Zwolse Tocht;Zwolse Tocht;;5252694;577261;H;CNL;NL;;16;;;;0;;-2;Europe/Amsterdam;19/04/2011
2743470;Zwolse Hoek;Zwolse Hoek;Zwolschehoek,Zwolse Hoek;5261513;564942;T;PT;NL;;16;303;;;0;;2;Europe/Amsterdam;14/04/2012
2743471;Zwolse Brug;Zwolse Brug;;5230324;572288;S;BDG;NL;;3;233;;;0;;21;Europe/Amsterdam;04/06/2011
2743472;Boswachterij Zwolse Bos;Boswachterij Zwolse Bos;Boswachterij Zwolse Bos,Zwolsche Bosch;524221;602838;L;PRK;NL;;3;246;;;0;;37;Europe/Amsterdam;16/08/2017
2743473;Zwolsche Vaart;Zwolsche Vaart;Zwolsche Vaart,Zwolse Vaart;5270769;576808;H;CNL;NL;;16;;;;0;;-3;Europe/Amsterdam;17/01/2012
2743474;Zwolsche Diep;Zwolsche Diep;'t Zwolse Diep,Zwolsche Diep,Zwolse Diep,’t Zwolse Diep;5263645;602274;H;CHNN;NL;;0;;;;0;;-3;Europe/Amsterdam;12/12/2010
2743475;Zwolle-IJsselkanaal;Zwolle-IJsselkanaal;;5251687;606394;H;CNL;NL;;15;;;;0;;0;Europe/Amsterdam;24/04/2009
2743476;Gemeente Zwolle;Gemeente Zwolle;Zwolle;5251264;609359;A;ADM2;NL;;15;193;;;129840;;9;Europe/Amsterdam;26/10/2025
2743477;Zwolle;Zwolle;Gemeen Zwolle,Svolla,Swol,Zvole,Zvolle,Zvolė,Zwolle,ci wo lei,jeubolleo,jhvola,s wol lex,zfwlh,zi wo lei,zuvuore,zvole,zwwlh,Зволе,Зволле,Զվոլե,زفوله,زولے,زووله,झ्वोला,ซโวลเลอ,ზვოლე,ズヴォレ,兹沃勒,즈볼러;525125;609444;P;PPLA;NL;;15;193;;;129840;;9;Europe/Amsterdam;04/08/2025
2743478;Zwolle;Zwolle;Zvolle,Zwolle,Зволле;5203167;665556;P;PPL;NL;;3;1859;;;65;;30;Europe/Amsterdam;11/02/2021
2743479;Zwinpolder;Zwinpolder;;5132018;339627;T;PLDR;NL;;10;;;;0;;2;Europe/Amsterdam;19/04/2011
2743480;Zwingelspaan;Zwingelspaan;;5166;449583;P;PPL;NL;;6;1709;;;120;;-2;Europe/Amsterdam;24/03/2017
2743481;Zwindersche Veld;Zwindersche Veld;;5271672;663732;V;HTH;NL;;1;;;;0;;13;Europe/Amsterdam;19/04/2011
2743482;Zwinderen;Zwinderen;;5272667;667639;P;PPL;NL;;1;109;;;260;;17;Europe/Amsterdam;17/10/2017
2743483;Zwinbrug;Zwinbrug;;5131667;34;S;BDG;NL;;10;1714;;;0;;1;Europe/Amsterdam;04/06/2011
2743484;Zwin;Zwin;;5311247;579512;H;CNL;NL;;2;;;;0;;-4;Europe/Amsterdam;17/08/2009
2743485;Zwin;Zwin;;5295856;503814;H;CHNM;NL;;7;;;;0;;-9999;Europe/Amsterdam;19/04/2011
2743486;Zwilbroek;Zwilbroek;;5205;668333;L;PRK;NL;;3;1859;;;0;;28;Europe/Amsterdam;16/08/2017
2743487;Zwilbroek;Zwilbroek;;5205384;66925;P;PPL;NL;;3;1859;;;0;;32;Europe/Amsterdam;19/04/2011
2743488;Zwijnstocht;Zwijnstocht;;5262588;586181;H;CNL;NL;;16;;;;0;;-3;Europe/Amsterdam;19/04/2011
2743489;Zwijnsbergen;Zwijnsbergen;;5152667;550694;P;PPL;NL;;6;1948;;;0;;13;Europe/Amsterdam;16/08/2017
2743490;Zwijnsbergen;Zwijnsbergen;;5164222;522194;S;EST;NL;;6;865;;;0;;10;Europe/Amsterdam;06/07/2021
2743491;Zwijnmaden;Zwijnmaden;;5309162;66339;L;LCTY;NL;;1;1730;;;0;;2;Europe/Amsterdam;16/08/2017
2743492;Gemeente Zwijndrecht;Gemeente Zwijndrecht;Gemeente Zwijndrecht,Zwijndrecht;5182399;461258;A;ADM2;NL;;11;642;;;44775;;-2;Europe/Amsterdam;31/01/2023
2743493;Zwijndrecht;Zwijndrecht;Zuindracum,Zvayndrext,Zvejndrekht,Zvejndrekhte,Zwijndrecht,ci wei en de lei he te,zfayndrykht,Звейндрехт,Звейндрехте,Զվայնդրեխտ,زفايندريخت,兹韦恩德雷赫特;518175;463333;P;PPL;NL;;11;642;;;45696;;0;Europe/Amsterdam;17/10/2017
2743494;Zwiggelterveld;Zwiggelterveld;;5289822;660482;L;LCTY;NL;;1;1731;;;0;;28;Europe/Amsterdam;16/08/2017
2743495;Zwiggelte;Zwiggelte;;5287167;658611;P;PPL;NL;;1;1731;;;220;;17;Europe/Amsterdam;17/10/2017
2743496;Zwiepsche Broek;Zwiepsche Broek;;5213954;647009;L;LCTY;NL;;3;262;;;0;;13;Europe/Amsterdam;16/08/2017
2743497;Zwiep;Zwiep;;5214949;64461;P;PPL;NL;;3;262;;;65;;15;Europe/Amsterdam;24/03/2017
2743498;Zwetterbrug;Zwetterbrug;;5261667;49;S;BDG;NL;;7;1598;;;0;;-4;Europe/Amsterdam;04/06/2011
2743499;Polder de Zwettepoel;Polder de Zwettepoel;;5298333;576667;T;PLDR;NL;;2;;;;0;;-1;Europe/Amsterdam;08/01/1994
2743501;Zwette;Zwette;Sneek Naar Leeuwarden,Sneek-Leeuward Waterway,Sneeker Trekvaart,Sneeker Vaart,Swette Vaart,Trekvaart van Sneek naar Leeuwarden,Zwette,Zwette Canal,Zwettevaart;5308034;570336;H;CNL;NL;;2;;;;0;;-3;Europe/Amsterdam;12/12/2010
2743502;Zwetpolder;Zwetpolder;;521823;463936;T;PLDR;NL;;11;;;;0;;-5;Europe/Amsterdam;19/04/2011
2743503;Zwethoeve;Zwethoeve;;5218333;463333;S;FRM;NL;;11;1884;;;0;;-3;Europe/Amsterdam;04/06/2011
2743504;Zwethkanaal;Zwethkanaal;De Zwet,Zweth,Zwethkanaal,Zwetkanaal;5201667;435;H;CNL;NL;;11;;;;0;;3;Europe/Amsterdam;17/01/2012
2743505;Zweth;Zweth;De Zwet,De Zweth,Zwet;5196167;439444;P;PPL;NL;;11;599;;;0;;0;Europe/Amsterdam;03/06/2007
2743506;Zwet;Zwet;;51865;455972;P;PPL;NL;;11;597;;;0;;-3;Europe/Amsterdam;03/06/2007
2743507;Zweins;Zweins;Sweins,Swyns,Zvejns,Zweins,zwyns,Звейнс,زوینس;5318953;560689;P;PPL;NL;;2;1949;;;110;;0;Europe/Amsterdam;20/01/2019
2743508;Zweelooërveld;Zweelooerveld;;5281726;673852;L;LCTY;NL;;1;109;;;0;;16;Europe/Amsterdam;16/08/2017
